#,Nota,MIDI,Freq_Hz,Inicio_s,Fin_s,Duracion_ms,Velocidad
1,La6,93,1760.0,7.156,7.423,267.0,0.558
2,Fa#6,90,1479.98,7.423,7.958,535.0,0.571
3,La6,93,1760.0,14.684,14.951,267.0,0.544
4,La6,93,1760.0,10.978,11.291,313.0,0.535
5,Sol6,91,1567.98,32.97,33.295,325.0,0.535
6,Sol6,91,1567.98,34.805,35.119,313.0,0.516
7,Mi6,88,1318.51,31.413,31.925,512.0,0.364
8,Fa#6,90,1479.98,14.928,15.532,604.0,0.577
9,Mi6,88,1318.51,9.305,9.804,499.0,0.621
10,Mi6,88,1318.51,17.17,17.425,255.0,0.521
11,Sol6,91,1567.98,28.253,28.741,488.0,0.441
12,Sol6,91,1567.98,28.88,29.182,302.0,0.562
13,Mi6,88,1318.51,39.394,40.788,1394.0,0.516
14,Mi6,88,1318.51,13.673,13.953,280.0,0.532
15,Mi6,88,1318.51,21.015,21.201,186.0,0.522
16,Si5,83,987.77,32.482,32.784,302.0,0.509
17,Mi6,88,1318.51,35.49,35.746,255.0,0.499
18,Mi6,88,1318.51,10.049,10.293,244.0,0.499
19,Sol6,91,1567.98,36.664,36.989,325.0,0.529
20,La6,93,1760.0,4.24,4.832,592.0,0.374
21,Re6,86,1174.66,29.705,29.903,199.0,0.495
22,Sol6,91,1567.98,22.085,22.387,302.0,0.52
23,Si5,83,987.77,33.911,34.167,255.0,0.548
24,La6,93,1760.0,12.105,12.802,697.0,0.403
25,Sol6,91,1567.98,18.425,18.704,279.0,0.548
26,Si5,83,987.77,13.953,14.196,244.0,0.423
27,Si5,83,987.77,10.432,11.024,592.0,0.451
28,Sol6,91,1567.98,24.756,25.128,372.0,0.42
29,Sol6,91,1567.98,17.367,17.832,464.0,0.402
30,La6,93,1760.0,38.407,38.662,255.0,0.501
31,Si5,83,987.77,6.401,6.563,163.0,0.476
32,Si5,83,987.77,36.177,36.444,267.0,0.455
33,Mi6,88,1318.51,33.585,33.807,222.0,0.465
34,Mi6,88,1318.51,6.122,6.389,267.0,0.508
35,Sol6,91,1567.98,25.302,25.604,302.0,0.485
36,Re6,86,1174.66,22.468,22.712,244.0,0.456
37,Mi6,88,1318.51,12.988,13.452,464.0,0.532
38,La6,93,1760.0,8.353,8.782,430.0,0.42
39,Re6,86,1174.66,18.773,18.994,221.0,0.49
40,Sol6,91,1567.98,18.042,18.262,221.0,0.507
41,La6,93,1760.0,15.88,16.322,442.0,0.319
42,Si5,83,987.77,2.776,3.101,325.0,0.506
43,Si5,83,987.77,20.017,20.261,244.0,0.429
44,Sol6,91,1567.98,29.333,29.6,267.0,0.498
45,Si5,83,987.77,14.603,14.765,163.0,0.432
46,Sol6,91,1567.98,21.77,21.945,175.0,0.48
